BBEID,BBEScore,BBEVote,numRatings,ratingByStars,LikedPercent
326,35980,477,223466,"['69268', '73976', '52263', '19285', '8674']",87
327,35785,462,2348368,"['943558', '772989', '459150', '134210', '38461']",93
328,35744,457,185569,"['66977', '64597', '39931', '10853', '3211']",92
329,35382,405,79286,"['43024', '24038', '8732', '2277', '1215']",96
330,35290,489,410571,"['156338', '141897', '88878', '18666', '4792']",94
331,35091,452,358640,"['135577', '139757', '65710', '13137', '4459']",95
332,34966,472,703377,"['279434', '250617', '132722', '27617', '12987']",94
333,34913,430,514829,"['198212', '157475', '107362', '36476', '15304']",90
334,34665,456,448419,"['191984', '158174', '76949', '15829', '5483']",95
335,34468,445,345534,"['125413', '141145', '63201', '12295', '3480']",95
336,34417,422,826865,"['230358', '237634', '218195', '98788', '41890']",83
337,34316,400,860151,"['355725', '286039', '148996', '45596', '23795']",92
338,34290,413,298196,"['139802', '101177', '40795', '10433', '5989']",94
339,34216,410,564734,"['369046', '131547', '45691', '11983', '6467']",97
340,34172,397,1148863,"['568722', '379566', '146549', '36135', '17891']",95
341,34161,422,440607,"['270144', '117626', '40123', '7674', '5040']",97
342,34060,404,451946,"['213695', '149856', '65972', '16669', '5754']",95
343,34012,359,302877,"['221465', '60345', '14100', '4101', '2866']",98
344,33968,407,712350,"['257068', '237108', '155491', '45192', '17491']",91
345,33920,489,239006,"['88681', '76179', '55367', '13952', '4827']",92
346,33814,388,411041,"['187107', '136736', '64181', '15761', '7256']",94
347,33810,470,254115,"['96893', '101291', '46973', '7134', '1824']",96
348,33763,443,128028,"['33359', '41137', '32396', '13542', '7594']",83
349,33672,516,231966,"['47506', '76279', '77197', '23797', '7187']",87
350,33500,405,239548,"['81373', '85951', '51381', '15666', '5177']",91
351,33463,402,242164,"['78321', '83901', '48957', '18818', '12167']",87
352,33219,433,264288,"['130163', '86714', '34949', '7999', '4463']",95
353,33186,421,202401,"['130795', '35789', '20450', '7789', '7578']",92
354,33065,443,313894,"['143363', '103439', '50948', '10715', '5429']",95
355,32967,372,57449,"['41757', '4582', '4587', '2616', '3907']",89
356,32962,422,437701,"['184067', '160184', '69186', '16481', '7783']",94
357,32890,442,29708,"['20933', '5945', '1863', '509', '458']",97
358,32676,389,713779,"['303875', '163208', '131552', '66936', '48208']",84
359,32650,443,221434,"['70321', '79525', '49497', '15436', '6655']",90
360,32467,463,153650,"['53483', '56392', '33967', '7320', '2488']",94
361,32281,376,733486,"['441112', '202834', '65871', '15235', '8434']",97
362,31884,459,238815,"['51432', '67668', '72697', '31944', '15074']",80
363,31793,434,232167,"['74051', '80657', '56699', '15323', '5437']",91
364,31753,350,401784,"['235621', '123539', '32319', '6834', '3471']",97
365,31593,390,539336,"['177481', '154757', '131944', '51124', '24030']",86
366,31488,398,135748,"['58306', '46467', '23003', '6074', '1898']",94
367,31381,404,355083,"['131319', '123149', '72900', '20449', '7266']",92
368,31344,367,289077,"['147891', '78224', '41266', '12925', '8771']",92
369,31333,421,234681,"['72866', '72329', '58845', '21057', '9584']",87
370,31144,319,2270,"['1493', '560', '132', '47', '38']",96
371,31020,364,391753,"['184948', '125325', '54774', '16744', '9962']",93
372,31016,453,221639,"['96853', '78749', '36525', '6904', '2608']",96
373,30850,414,136830,"['41161', '44196', '30598', '13232', '7643']",85
374,30697,419,190859,"['43813', '63260', '53178', '21061', '9547']",84
375,30608,397,137596,"['90410', '35574', '9079', '1717', '816']",98
376,30080,426,284314,"['84763', '103690', '72678', '17871', '5312']",92
377,29943,368,184040,"['85040', '61372', '25919', '8264', '3445']",94
378,29834,389,299095,"['122434', '98516', '55695', '16525', '5925']",92
379,29689,305,1952,"['1214', '622', '60', '27', '29']",97
380,29539,384,378898,"['170561', '115946', '64862', '18526', '9003']",93
381,29529,356,296407,"['91758', '92568', '74175', '26285', '11621']",87
